100000000A,國民大會
387022800A,臺中市豐原區戶政事務所
387022900A,臺中市大里區戶政事務所
387023000A,臺中市太平區戶政事務所
387023100A,臺中市東勢區戶政事務所
387023200A,臺中市大甲區戶政事務所
387023300A,臺中市清水區戶政事務所
387023400A,臺中市沙鹿區戶政事務所
387023500A,臺中市梧棲區戶政事務所
387023600A,臺中市后里區戶政事務所
387023700A,臺中市神岡區戶政事務所
387023800A,臺中市大雅區戶政事務所
387023900A,臺中市潭子區戶政事務所
387024000A,臺中市石岡區戶政事務所
387024100A,臺中市新社區戶政事務所
387024200A,臺中市和平區戶政事務所
387024300A,臺中市外埔區戶政事務所
387024400A,臺中市大安區戶政事務所
387024500A,臺中市大肚區戶政事務所
387024600A,臺中市龍井區戶政事務所
387024700A,臺中市烏日區戶政事務所
387024800A,臺中市霧峰區戶政事務所
387030000D,臺中市政府財政局
387040000E,臺中市政府教育局
387040100E,臺中市家庭教育中心
387040200E,臺中市體育處
387100000G,臺中市政府建設局
387120000J,臺中市政府社會局
387120100J,臺中市立仁愛之家
387120200J,臺中市家庭暴力及性侵害防治中心
387122000J,臺中市立南屯托兒所
387122100J,臺中市立豐原托兒所
387122200J,臺中市立大里托兒所
387122300J,臺中市立太平托兒所
387122400J,臺中市立清水托兒所
387122500J,臺中市立沙鹿托兒所
387122600J,臺中市立大甲托兒所
387122700J,臺中市立東勢托兒所
387122800J,臺中市立梧棲托兒所
387122900J,臺中市立烏日托兒所
387123000J,臺中市立和平托兒所
387123100J,臺中市立神岡托兒所
387123200J,臺中市立大肚托兒所
387123300J,臺中市立大雅托兒所
387123400J,臺中市立后里托兒所
387123500J,臺中市立石岡托兒所
387123600J,臺中市立霧峰托兒所
387123700J,臺中市立潭子托兒所
387123800J,臺中市立龍井托兒所
387123900J,臺中市立外埔托兒所
387124000J,臺中市立大安托兒所
387124100J,臺中市立新社托兒所
387130000C,臺中市政府警察局
387130100C,臺中市政府警察局保安警察大隊
387130200C,臺中市政府警察局刑事警察大隊
387130300C,臺中市政府警察局交通警察大隊
387130500C,臺中市政府警察局婦幼警察隊
387132000C,臺中市政府警察局第一分局
387132100C,臺中市政府警察局第二分局
387132200C,臺中市政府警察局第三分局
387132300C,臺中市政府警察局第四分局
387132400C,臺中市政府警察局第五分局
387132500C,臺中市政府警察局第六分局
387132600C,臺中市政府警察局豐原分局
387132700C,臺中市政府警察局東勢分局
387132800C,臺中市政府警察局大甲分局
387132900C,臺中市政府警察局清水分局
387133000C,臺中市政府警察局烏日分局
387133100C,臺中市政府警察局霧峰分局
387133200C,臺中市政府警察局和平分局
387133300C,臺中市政府警察局太平分局
387135000C,臺中市政府警察局少年警察隊
387140000I,臺中市政府衛生局
387142000I,臺中市中區衛生所
387142100I,臺中市東區衛生所
387142300I,臺中市南區衛生所
387142400I,臺中市北區衛生所
387142500I,臺中市西屯區衛生所
387142600I,臺中市南屯區衛生所
387142700I,臺中市北屯區軍功衛生所
387142800I,臺中市北屯區四民衛生所
387142900I,臺中市豐原區衛生所
387143000I,臺中市東勢區衛生所
387143100I,臺中市大甲區衛生所
387143200I,臺中市清水區衛生所
387143300I,臺中市沙鹿區衛生所
387143400I,臺中市梧棲區衛生所
387143500I,臺中市后里區衛生所
387143600I,臺中市神岡區衛生所
387143700I,臺中市潭子區衛生所
387143800I,臺中市大雅區衛生所
387143900I,臺中市新社區衛生所
387144000I,臺中市石岡區衛生所
387144100I,臺中市外埔區衛生所
387144200I,臺中市大安區衛生所
387144300I,臺中市烏日區衛生所
387144400I,臺中市大肚區衛生所
387144500I,臺中市龍井區衛生所
387144600I,臺中市霧峰區衛生所
387144700I,臺中市和平區衛生所
387144800I,臺中市和平區梨山衛生所
387144900I,臺中市大里區衛生所
387145000I,臺中市太平區衛生所
387145100I,臺中市中西區衛生所
387150000I,臺中市政府環境保護局
387160000A,臺中市政府地政局
387162000A,臺中市中山地政事務所
387162100A,臺中市中正地政事務所
387162200A,臺中市中興地政事務所
387162300A,臺中市豐原地政事務所
387162400A,臺中市雅潭地政事務所
387162500A,臺中市東勢地政事務所
387162600A,臺中市大里地政事務所
387162700A,臺中市太平地政事務所
387162800A,臺中市清水地政事務所
387162900A,臺中市大甲地政事務所
387170000G,臺中市政府經濟發展局
387170100A,臺中市建國公有零售市場
387170200A,臺中市第一公有零售市場
387170300A,臺中市第二公有零售市場
387170400A,臺中市第三公有零售市場
387170500A,臺中市第五公有零售市場
387170600A,臺中市合作公有零售市場
387170700A,臺中市一心公有零售市場
387170800A,臺中市中央公有零售市場
387170900A,臺中市篤行公有零售市場
387171000A,臺中市中德公有零售市場
387171100A,臺中市大進公有零售市場
387171200A,臺中市大新公有零售市場
387171300A,臺中市何厝公有零售市場
387171400A,臺中市后庄公有零售市場
387171500A,臺中市小康公有零售市場
387171600A,臺中市福安公有零售市場
387171700A,臺中市豐原第一公有零售市場
387171800A,臺中市豐原第二公有零售市場
387171900A,臺中市太平公有零售市場
387172000A,臺中市清水第一公有零售市場
387172100A,臺中市清水第二公有零售市場
387172200A,臺中市沙鹿公有零售市場
387172300A,臺中市大甲第一公有零售市場
387172400A,臺中市大甲第二公有零售市場
387172500A,臺中市東勢公有零售市場
387172600A,臺中市梧棲第一公有零售市場
387172700A,臺中市梧棲第二公有零售市場
387172800A,臺中市烏日公有零售市場
387172900A,臺中市大肚公有零售市場
387173000A,臺中市大雅公有零售市場
387173100A,臺中市后里公有零售市場
387173200A,臺中市霧峰公有零售市場
387180000E,臺中市政府新聞局
387200000A,臺中市政府主計處
387210000A,臺中市政府人事處
387210100A,臺中市政府公務人力訓練中心
387220000A,臺中市政府研究發展考核委員會
387220100A,臺中市政府資訊中心
387230000A,臺中市政府政風處
387240000J,臺中市政府勞工局
387240100J,臺中市政府勞工局勞動檢查處
387240200J,臺中市政府勞工局就業服務處
387250000G,臺中市政府水利局
387260000D,臺中市政府地方稅務局
387270000G,臺中市政府農業局
387270100I,臺中市動物保護防疫處
387270200G,臺中市海岸資源漁業發展所
387290000H,臺中市政府交通局
387290100H,臺中市公共運輸處
387290200H,臺中市捷運工程處
387290300H,臺中市停車管理處
387290400H,臺中市車輛行車事故鑑定委員會
387300000H,臺中市政府觀光旅遊局
387300100H,臺中市風景區管理所
387310000A,臺中市政府法制局
387320000A,臺中市政府消防局
387330000E,臺中市政府文化局
387330100E,臺中市立大墩文化中心
387330200E,臺中市立葫蘆墩文化中心
387330300E,臺中市立港區藝術中心
387330400E,臺中市中區圖書館
387330500E,臺中市東區圖書館
387330600E,臺中市西區圖書館
387330700E,臺中市南區圖書館
387330800E,臺中市北區圖書館
387330900E,臺中市西屯區圖書館
387331000E,臺中市西屯區協和圖書館
387331100E,臺中市西屯區永安圖書館
387331200E,臺中市南屯區圖書館
387331300E,臺中市北屯區圖書館
387331400E,臺中市北屯區四張犁圖書館
387331500E,臺中市豐原區圖書館
387331600E,臺中市大里區圖書館
387331700E,臺中市太平區圖書館
387331800E,臺中市清水區圖書館
387331900E,臺中市沙鹿區圖書館
387332000E,臺中市大甲區圖書館
387332100E,臺中市東勢區圖書館
387332200E,臺中市梧棲區圖書館
387332300E,臺中市烏日區圖書館
387332400E,臺中市和平區圖書館
387332500E,臺中市神岡區圖書館
387332600E,臺中市大肚區圖書館
387332700E,臺中市大雅區圖書館
387332800E,臺中市后里區圖書館
387332900E,臺中市石岡區圖書館
387333000E,臺中市霧峰區圖書館
387333100E,臺中市潭子區圖書館
387333200E,臺中市龍井區圖書館
387333300E,臺中市外埔區圖書館
387333400E,臺中市大安區圖書館
387333500E,臺中市新社區圖書館
387333600E,臺中市立屯區藝文中心
387333700E,臺中市文化資產管理中心
387340000A,臺中市政府原住民事務委員會
387350000A,臺中市政府客家事務委員會
387360000G,臺中市政府都市發展局
387510000A,臺中市中區區公所
387520000A,臺中市東區區公所
387530000A,臺中市西區區公所
387540000A,臺中市南區區公所
387550000A,臺中市北區區公所
387560000A,臺中市西屯區公所
387570000A,臺中市南屯區公所
387580000A,臺中市北屯區公所
387590000A,臺中市豐原區公所
387600000A,臺中市大里區公所
387610000A,臺中市太平區公所
387620000A,臺中市清水區公所
387630000A,臺中市沙鹿區公所
387640000A,臺中市大甲區公所
387650000A,臺中市東勢區公所
387660000A,臺中市梧棲區公所
387670000A,臺中市烏日區公所
387680000A,臺中市神岡區公所
387690000A,臺中市大肚區公所
387700000A,臺中市大雅區公所
387710000A,臺中市后里區公所
387720000A,臺中市霧峰區公所
387730000A,臺中市潭子區公所
387740000A,臺中市龍井區公所
387750000A,臺中市外埔區公所
387760000A,臺中市和平區公所
387770000A,臺中市石岡區公所
387780000A,臺中市大安區公所
387790000A,臺中市新社區公所
388000000A,臺中市議會
392330400Q,國立臺北商業技術學院附設空中進修學院
392360000Q,國立金門技術學院
392490100Q,國立勤益科技大學附設進修學院
392710000E,國立鳳凰谷鳥園
395000000A,臺南市政府
395000100A,臺南市政府資訊中心
395000200A,臺南市政府公務人力發展中心
395020000A,臺南市政府民政局
395020100A,臺南市殯葬管理所
395022000A,臺南市東區戶政事務所
395022100A,臺南市南區戶政事務所
395022200A,臺南市北區戶政事務所
395022300A,臺南市安南區戶政事務所
395022400A,臺南市安平區戶政事務所
395022500A,臺南市中西區戶政事務所
395022600A,臺南市新營區戶政事務所
395022700A,臺南市鹽水區戶政事務所
395022800A,臺南市柳營區戶政事務所
395022900A,臺南市白河區戶政事務所
395023000A,臺南市後壁區戶政事務所
395023100A,臺南市東山區戶政事務所
395023200A,臺南市麻豆區戶政事務所
395023300A,臺南市下營區戶政事務所
395023400A,臺南市六甲區戶政事務所
395023500A,臺南市官田區戶政事務所
395023600A,臺南市佳里區戶政事務所
395023700A,臺南市西港區戶政事務所
395023800A,臺南市七股區戶政事務所
395023900A,臺南市學甲區戶政事務所
395024000A,臺南市將軍區戶政事務所
395024100A,臺南市北門區戶政事務所
395024200A,臺南市新化區戶政事務所
395024300A,臺南市山上區戶政事務所
395024400A,臺南市左鎮區戶政事務所
395024500A,臺南市善化區戶政事務所
395024600A,臺南市安定區戶政事務所
395024700A,臺南市大內區戶政事務所
395024800A,臺南市玉井區戶政事務所
395024900A,臺南市楠西區戶政事務所
395025000A,臺南市南化區戶政事務所
395025100A,臺南市歸仁區戶政事務所
395025200A,臺南市仁德區戶政事務所
395025300A,臺南市關廟區戶政事務所
395025400A,臺南市龍崎區戶政事務所
395025500A,臺南市新市區戶政事務所
395025600A,臺南市永康區戶政事務所
395040000E,臺南市政府教育局
395040100E,臺南市南瀛科學教育館
395040200E,臺南市家庭教育中心
395040300E,臺南市體育處
395099100Z,臺南市立第一幼稚園
395110000G,臺南市政府工務局
395110100G,臺南市政府工務局公共工程處
395120000J,臺南市政府社會局
395120100J,臺南市立仁愛之家
395120200J,臺南市政府照顧服務管理中心
395120300J,臺南市政府家庭暴力暨性侵害防治中心
395122100J,臺南市立第二托兒所
395122200J,臺南市立第三托兒所
395122300J,臺南市立第四托兒所
395122400J,臺南市立第五托兒所
395122500J,臺南市立第六托兒所
395122600J,臺南市立白河托兒所
395122700J,臺南市立麻豆托兒所
395122800J,臺南市立新化托兒所
395122900J,臺南市立善化托兒所
395123000J,臺南市立學甲托兒所
395123100J,臺南市立下營托兒所
395123200J,臺南市立六甲托兒所
395123300J,臺南市立七股托兒所
395123400J,臺南市立將軍托兒所
395123500J,臺南市立新市托兒所
395123600J,臺南市立安定托兒所
395123700J,臺南市立仁德托兒所
395123800J,臺南市立歸仁托兒所
395123900J,臺南市立關廟托兒所
395124000J,臺南市立龍崎托兒所
395124100J,臺南市立永康托兒所
395130000C,臺南市政府警察局
395130100C,臺南市政府警察局保安警察大隊
395130200C,臺南市政府警察局刑事警察大隊
395130300C,臺南市政府警察局交通警察大隊
395130500C,臺南市政府警察局婦幼警察隊
395132000C,臺南市政府警察局第一分局
395132100C,臺南市政府警察局第二分局
395132200C,臺南市政府警察局第三分局
395132300C,臺南市政府警察局第四分局
395132400C,臺南市政府警察局第五分局
395132500C,臺南市政府警察局第六分局
395132600C,臺南市政府警察局新營分局
395132700C,臺南市政府警察局白河分局
395132800C,臺南市政府警察局學甲分局
395132900C,臺南市政府警察局佳里分局
395133000C,臺南市政府警察局麻豆分局
395133100C,臺南市政府警察局善化分局
395133200C,臺南市政府警察局新化分局
395133300C,臺南市政府警察局玉井分局
395133400C,臺南市政府警察局歸仁分局
395133500C,臺南市政府警察局永康分局
395135000C,臺南市政府警察局少年警察隊
395140000I,臺南市政府衛生局
395142000I,臺南市東區衛生所
395142100I,臺南市南區衛生所
395142200I,臺南市北區衛生所
395142300I,臺南市安南區衛生所
395142400I,臺南市安平區衛生所
395142500I,臺南市中西區衛生所
395142600I,臺南市新營區衛生所
395142700I,臺南市鹽水區衛生所
395142800I,臺南市白河區衛生所
395142900I,臺南市麻豆區衛生所
395143000I,臺南市佳里區衛生所
395143100I,臺南市新化區衛生所
395143200I,臺南市善化區衛生所
395143300I,臺南市學甲區衛生所
395143400I,臺南市柳營區衛生所
395143500I,臺南市後壁區衛生所
395143600I,臺南市東山區衛生所
395143700I,臺南市下營區衛生所
395143800I,臺南市六甲區衛生所
395143900I,臺南市官田區衛生所
395144000I,臺南市大內區衛生所
395144100I,臺南市西港區衛生所
395144200I,臺南市七股區衛生所
395144300I,臺南市將軍區衛生所
395144400I,臺南市北門區衛生所
395144500I,臺南市新市區衛生所
395144600I,臺南市安定區衛生所
395144700I,臺南市山上區衛生所
395144800I,臺南市玉井區衛生所
395144900I,臺南市楠西區衛生所
395145000I,臺南市南化區衛生所
395145100I,臺南市左鎮區衛生所
395145200I,臺南市仁德區衛生所
395145300I,臺南市歸仁區衛生所
395145400I,臺南市關廟區衛生所
395145500I,臺南市龍崎區衛生所
395145600I,臺南市永康區衛生所
395150000I,臺南市政府環境保護局
395160000A,臺南市政府地政局
395162000A,臺南市臺南地政事務所
395162100A,臺南市安南地政事務所
395162200A,臺南市東南地政事務所
395162300A,臺南市鹽水地政事務所
395162400A,臺南市白河地政事務所
395162500A,臺南市麻豆地政事務所
395162600A,臺南市佳里地政事務所
395162700A,臺南市新化地政事務所
395162800A,臺南市玉井地政事務所
395162900A,臺南市歸仁地政事務所
395163000A,臺南市永康地政事務所
395170000G,臺南市政府經濟發展局
395170100G,臺南市市場處
395240000J,臺南市政府勞工局
395240200J,臺南市政府勞工局職訓就服中心
395250000G,臺南市政府水利局
395260000D,臺南市政府稅務局
395270000G,臺南市政府農業局
395270100I,臺南市動物防疫保護處
395270200G,臺南市漁港及近海管理所
395290000H,臺南市政府交通局
395290100H,臺南市政府交通局車輛行車事故鑑定委員會
395300000H,臺南市政府觀光旅遊局
395320000A,臺南市政府消防局
395330000E,臺南市政府文化局
395330100E,臺南市立圖書館
395330200E,臺南市立臺南文化中心
395330400E,臺南市立新營文化中心
395330500E,臺南市文化資產管理處
395360000G,臺南市政府都市發展局
395510000A,臺南市東區區公所
395520000A,臺南市南區區公所
395530000A,臺南市北區區公所
395540000A,臺南市安南區公所
395550000A,臺南市安平區公所
395560000A,臺南市中西區公所
395570000A,臺南市新營區公所
395580000A,臺南市鹽水區公所
395590000A,臺南市白河區公所
395600000A,臺南市麻豆區公所
395610000A,臺南市佳里區公所
395620000A,臺南市新化區公所
395630000A,臺南市善化區公所
395640000A,臺南市學甲區公所
395650000A,臺南市柳營區公所
395660000A,臺南市後壁區公所
395670000A,臺南市東山區公所
395680000A,臺南市下營區公所
395690000A,臺南市六甲區公所
395700000A,臺南市官田區公所
395710000A,臺南市大內區公所
395720000A,臺南市西港區公所
395730000A,臺南市七股區公所
395740000A,臺南市將軍區公所
395750000A,臺南市北門區公所
395760000A,臺南市新市區公所
395770000A,臺南市安定區公所
395780000A,臺南市山上區公所
395790000A,臺南市玉井區公所
395800000A,臺南市楠西區公所
395810000A,臺南市南化區公所
395820000A,臺南市左鎮區公所
395830000A,臺南市仁德區公所
395840000A,臺南市歸仁區公所
395850000A,臺南市關廟區公所
395860000A,臺南市龍崎區公所
395870000A,臺南市永康區公所
396000000A,臺南市議會
397000000A,高雄市政府
397007000Q,高雄市立空中大學
397010000A,高雄市政府秘書處
397020000A,高雄市政府民政局
397020100J,高雄市殯葬管理處
397022000A,高雄市鹽埕區戶政事務所
397022100A,高雄市鼓山區戶政事務所
397022200A,高雄市左營區戶政事務所
397022300A,高雄市楠梓區戶政事務所
397022400A,高雄市新興區戶政事務所
397022500A,高雄市前金區戶政事務所
397022600A,高雄市苓雅區戶政事務所
397022700A,高雄市前鎮區戶政事務所
397022800A,高雄市旗津區戶政事務所
397022900A,高雄市小港區戶政事務所
397023000A,高雄市三民區第一戶政事務所
397023100A,高雄市三民區第二戶政事務所
397023200A,高雄市鳳山區第一戶政事務所
397023300A,高雄市鳳山區第二戶政事務所
397023400A,高雄市岡山區戶政事務所
397023500A,高雄市大寮區戶政事務所
397023600A,高雄市林園區戶政事務所
397023700A,高雄市美濃區戶政事務所
397023800A,高雄市路竹區戶政事務所
397023900A,高雄市旗山區戶政事務所
397024000A,高雄市大樹區戶政事務所
397024100A,高雄市仁武區戶政事務所
397024200A,高雄市橋頭區戶政事務所
397024300A,高雄市梓官區戶政事務所
397024400A,高雄市燕巢區戶政事務所
397024500A,高雄市茄萣區戶政事務所
397024600A,高雄市阿蓮區戶政事務所
397024700A,高雄市鳥松區戶政事務所
397024800A,高雄市大社區戶政事務所
397024900A,高雄市湖內區戶政事務所
397025000A,高雄市彌陀區戶政事務所
397025100A,高雄市六龜區戶政事務所
397025200A,高雄市內門區戶政事務所
397025300A,高雄市杉林區戶政事務所
397025400A,高雄市永安區戶政事務所
397025500A,高雄市甲仙區戶政事務所
397025600A,高雄市田寮區戶政事務所
397025700A,高雄市茂林區戶政事務所
397025800A,高雄市桃源區戶政事務所
397025900A,高雄市那瑪夏區戶政事務所
397030000D,高雄市政府財政局
397030200N,高雄市政府財政局動產質借所
397030300D,高雄市西區稅捐稽徵處
397030400D,高雄市東區稅捐稽徵處
397040000E,高雄市政府教育局
397040100E,高雄市體育處
397040200E,高雄市立社會教育館
397040300E,高雄市政府教育局家庭教育中心
397110000G,高雄市政府工務局
397110100G,高雄市政府工務局新建工程處
397110200G,高雄市政府工務局違章建築處理大隊
397110300G,高雄市政府工務局養護工程處
397120000J,高雄市政府社會局
397120100J,高雄市政府社會局仁愛之家
397120200J,高雄市政府社會局無障礙之家
397120300J,高雄市政府社會局家庭暴力及性侵害防治中心
397120400J,高雄市政府社會局兒童福利服務中心
397120500J,高雄市政府社會局長青綜合服務中心
397130000C,高雄市政府警察局
397130100C,高雄市政府警察局保安警察大隊
397130200C,高雄市政府警察局刑事警察大隊
397130300C,高雄市政府警察局交通警察大隊
397130500C,高雄市政府警察局婦幼警察隊
397132000C,高雄市政府警察局鹽埕分局
397132100C,高雄市政府警察局鼓山分局
397132200C,高雄市政府警察局左營分局
397132300C,高雄市政府警察局新興分局
397132400C,高雄市政府警察局苓雅分局
397132500C,高雄市政府警察局前鎮分局
397132600C,高雄市政府警察局小港分局
397132700C,高雄市政府警察局楠梓分局
397132800C,高雄市政府警察局三民第一分局
397132900C,高雄市政府警察局三民第二分局
397133000C,高雄市政府警察局鳳山分局
397133100C,高雄市政府警察局岡山分局
397133200C,高雄市政府警察局旗山分局
397133300C,高雄市政府警察局林園分局
397133400C,高雄市政府警察局六龜分局
397133500C,高雄市政府警察局湖內分局
397133600C,高雄市政府警察局仁武分局
397135000C,高雄市政府警察局少年警察隊
397135300C,高雄市政府警察局捷運警察隊
397139100C,高雄市政府警察局通信隊
397140000I,高雄市政府衛生局
397140100P,高雄市立民生醫院
397140200P,高雄市立聯合醫院
397140300P,高雄市立中醫醫院
397140400P,高雄市立凱旋醫院
397142000I,高雄市鹽埕區衛生所
397142100I,高雄市鼓山區衛生所
397142200I,高雄市左營區衛生所
397142300I,高雄市楠梓區衛生所
397142400I,高雄市三民區衛生所
397142500I,高雄市新興區衛生所
397142600I,高雄市前金區衛生所
397142700I,高雄市苓雅區衛生所
397142800I,高雄市前鎮區衛生所
397142900I,高雄市旗津區衛生所
397143000I,高雄市小港區衛生所
397143100I,高雄市三民區第二衛生所
397143200I,高雄市鳳山區衛生所
397143300I,高雄市岡山區衛生所
397143400I,高雄市旗山區衛生所
397143500I,高雄市美濃區衛生所
397143600I,高雄市林園區衛生所
397143700I,高雄市大寮區衛生所
397143800I,高雄市大樹區衛生所
397143900I,高雄市仁武區衛生所
397144000I,高雄市大社區衛生所
397144100I,高雄市鳥松區衛生所
397144200I,高雄市橋頭區衛生所
397144300I,高雄市燕巢區衛生所
397144400I,高雄市田寮區衛生所
397144500I,高雄市阿蓮區衛生所
397144600I,高雄市路竹區衛生所
397144700I,高雄市湖內區衛生所
397144800I,高雄市茄萣區衛生所
397144900I,高雄市永安區衛生所
397145000I,高雄市彌陀區衛生所
397145100I,高雄市梓官區衛生所
397145200I,高雄市六龜區衛生所
397145300I,高雄市甲仙區衛生所
397145400I,高雄市杉林區衛生所
397145500I,高雄市內門區衛生所
397145600I,高雄市茂林區衛生所
397145700I,高雄市桃源區衛生所
397145800I,高雄市那瑪夏區衛生所
397150000I,高雄市政府環境保護局
397150100I,高雄市政府環境保護局中區資源回收廠
397150200I,高雄市政府環境保護局南區資源回收廠
397160000A,高雄市政府地政局
397160100A,高雄市政府地政局土地開發處
397162000A,高雄市政府地政局鹽埕地政事務所
397162100A,高雄市政府地政局新興地政事務所
397162200A,高雄市政府地政局前鎮地政事務所
397162300A,高雄市政府地政局楠梓地政事務所
397162400A,高雄市政府地政局三民地政事務所
397162500A,高雄市政府地政局鳳山地政事務所
397162600A,高雄市政府地政局岡山地政事務所
397162700A,高雄市政府地政局旗山地政事務所
397162800A,高雄市政府地政局仁武地政事務所
397162900A,高雄市政府地政局路竹地政事務所
397163000A,高雄市政府地政局美濃地政事務所
397163100A,高雄市政府地政局大寮地政事務所
397170000G,高雄市政府經濟發展局
397180000E,高雄市政府新聞局
397180100E,高雄廣播電臺
397190000A,高雄市政府兵役局
397200000A,高雄市政府主計處
397210000A,高雄市政府人事處
397210100A,高雄市政府公教人員住宅輔建及福利會
397210200A,高雄市政府公務人力發展中心
397220000A,高雄市政府研究發展考核委員會
397220100A,高雄市政府資訊中心
397230000A,高雄市政府政風處
397240000J,高雄市政府勞工局
397240100J,高雄市政府勞工局訓練就業中心
397240200J,高雄市政府勞工局博愛職業技能訓練中心
397240300J,高雄市政府勞工局勞動檢查處
397240400J,高雄市政府勞工局勞工教育生活中心
397250000G,高雄市政府水利局
397270000G,高雄市政府農業局
397270100I,高雄市動物保護處
397290000H,高雄市政府交通局
397290200H,高雄市政府交通局車輛行車事故鑑定委員會
397290300M,高雄市公共汽車管理處
397290400M,高雄市輪船股份有限公司
397310000A,高雄市政府法制局
397320000A,高雄市政府消防局
397330000E,高雄市政府文化局
397330100E,高雄市立圖書館
397330200E,高雄市立美術館
397330300E,高雄市立歷史博物館
397330400E,高雄市電影館
397340000A,高雄市政府原住民事務委員會
397350000A,高雄市政府客家事務委員會
397360000G,高雄市政府都市發展局
397370000H,高雄市政府捷運工程局
397380000H,高雄市政府觀光局
397390000A,高雄市政府海洋局
397510000A,高雄市鹽埕區公所
397520000A,高雄市鼓山區公所
397530000A,高雄市左營區公所
397540000A,高雄市楠梓區公所
397550000A,高雄市三民區公所
397560000A,高雄市新興區公所
397570000A,高雄市前金區公所
397580000A,高雄市苓雅區公所
397590000A,高雄市前鎮區公所
397600000A,高雄市旗津區公所
397610000A,高雄市小港區公所
397620000A,高雄市鳳山區公所
397630000A,高雄市岡山區公所
397640000A,高雄市旗山區公所
397650000A,高雄市美濃區公所
397660000A,高雄市林園區公所
397670000A,高雄市大寮區公所
397680000A,高雄市大樹區公所
397690000A,高雄市仁武區公所
397700000A,高雄市大社區公所
397710000A,高雄市鳥松區公所
397720000A,高雄市橋頭區公所
397730000A,高雄市燕巢區公所
397740000A,高雄市田寮區公所
397750000A,高雄市阿蓮區公所
397760000A,高雄市路竹區公所
397770000A,高雄市湖內區公所
397780000A,高雄市茄萣區公所
397790000A,高雄市永安區公所
397800000A,高雄市彌陀區公所
397810000A,高雄市梓官區公所
397820000A,高雄市六龜區公所
397830000A,高雄市甲仙區公所
397840000A,高雄市杉林區公所
397850000A,高雄市內門區公所
397860000A,高雄市茂林區公所
397870000A,高雄市桃源區公所
397880000A,高雄市那瑪夏區公所
398000000A,高雄市議會
3990099075,行政院莫拉克颱風災後重建推動委員會
400000000A,立法院
500000000F,司法院
500010000F,司法院司法人員研習所
501010000F,臺北高等行政法院
501020000F,臺中高等行政法院
501030000F,高雄高等行政法院
501050000F,最高行政法院
502000000F,公務員懲戒委員會
503000000F,最高法院
504000000F,臺灣高等法院
504010000F,臺灣高等法院臺中分院
504020000F,臺灣高等法院臺南分院
504030000F,臺灣高等法院花蓮分院
504040000F,臺灣高等法院高雄分院
504200000F,臺灣臺北地方法院
504210000F,臺灣桃園地方法院
504220000F,臺灣新竹地方法院
504230000F,臺灣臺中地方法院
504240000F,臺灣彰化地方法院
504250000F,臺灣雲林地方法院
504260000F,臺灣嘉義地方法院
504270000F,臺灣臺南地方法院
504280000F,臺灣高雄地方法院
504290000F,臺灣屏東地方法院
504300000F,臺灣臺東地方法院
504310000F,臺灣花蓮地方法院
504320000F,臺灣宜蘭地方法院
504330000F,臺灣基隆地方法院
504340000F,臺灣澎湖地方法院
504360000F,臺灣南投地方法院
504370000F,臺灣士林地方法院
504380000F,臺灣苗栗地方法院
504390000F,臺灣新北地方法院
504610000F,臺灣高雄少年及家事法院
506000000F,福建高等法院金門分院
506010000F,福建金門地方法院
506020000F,福建連江地方法院
507000000F,智慧財產法院
600000000A,考試院
601000000A,考選部
602000000A,銓敘部
602020000A,公務人員退休撫卹基金管理委員會
603000000A,公務人員退休撫卹基金監理委員會
604000000A,公務人員保障暨培訓委員會
604020000A,國家文官學院
604020200A,國家文官學院中區培訓中心
700000000A,監察院
701000000A,審計部
701020000A,審計部臺北市審計處
701030000A,審計部高雄市審計處
701040300A,審計部臺灣省新竹縣審計室
701040500A,審計部臺灣省彰化縣審計室
701040700A,審計部臺灣省屏東縣審計室
701040800A,審計部臺灣省花蓮縣審計室
701040900A,審計部臺灣省嘉義市審計室
701041000A,審計部臺灣省桃園縣審計室
701041100A,審計部臺灣省基隆市審計室
701041200A,審計部臺灣省雲林縣審計室
701041300A,審計部臺灣省苗栗縣審計室
701041400A,審計部臺灣省南投縣審計室
701041500A,審計部臺灣省高雄縣審計室
701041600A,審計部臺灣省臺東縣審計室
701041700A,審計部臺灣省宜蘭縣審計室
701041800A,審計部臺灣省臺中縣審計室
701041900A,審計部臺灣省臺南縣審計室
701042000A,審計部臺灣省新竹市審計室
701042100A,審計部臺灣省嘉義縣審計室
701042200A,審計部教育農林審計處
701042300A,審計部交通建設審計處
701042400A,審計部臺灣省澎湖縣審計室
701042500A,審計部福建省金門縣審計室
701060000A,審計部新北市審計處
701070000A,審計部臺中市審計處
701080000A,審計部臺南市審計處
800000000A,國家安全會議秘書處
800000001A,國家安全會議
803000000A,國家安全局
803010000A,聯合警衛安全指揮部
A00000000A,行政院
A00010000H,飛航安全調查委員會
A03000000B,外交部
A03010000B,外交部領事事務局
A03020000B,外交部外交及國際事務學院
A03030000B,駐外機構
A05000000C,國防部
A05010000C,國防部政治作戰局
A05020000C,國防部軍備局
A05030000C,國防部主計局
A05040000C,國防部軍醫局
A05110000C,國防部陸軍司令部
A05110100S,陸軍軍官學校
A05110200S,陸軍專科學校
A05120000C,國防部海軍司令部
A05120100S,海軍軍官學校
A05130000C,國防部空軍司令部
A05130100S,空軍軍官學校
A05130200S,空軍航空技術學院
A05140000C,國防部後備指揮部
A05150000C,國防部憲兵指揮部
A05210000S,國防大學
A05220000S,國防醫學院
